
Angle_X Angle_Y Angle_Z Time 
85.74 95.35 23.30 21
87.06 95.25 23.65 74
86.36 94.86 22.03 128
86.26 95.00 23.89 180
86.68 94.80 22.83 233
85.95 94.97 24.41 286
85.60 94.92 21.31 339
86.18 94.94 22.69 392
86.78 93.49 18.82 445
86.01 91.58 nan 498
82.72 93.15 nan 550
88.78 86.50 28.34 604
92.07 83.95 27.17 656
91.20 75.62 22.98 709
90.35 70.09 33.18 762
89.30 66.53 32.67 816
89.85 60.42 47.01 868
90.49 57.13 36.70 921
90.48 55.57 40.94 974
91.33 57.20 44.05 1028
91.45 55.19 46.01 1081
89.64 52.84 43.16 1133
90.56 48.35 47.62 1186
87.10 46.20 56.61 1240
89.72 44.51 55.38 1293
86.35 37.63 57.35 1346
86.33 38.04 61.57 1398
85.66 34.52 62.74 1452
88.15 34.02 64.74 1505
85.74 32.31 67.43 1558
85.74 32.93 66.24 1611
86.80 31.46 65.65 1664
84.58 31.13 64.57 1717
85.25 30.78 65.19 1770
85.44 32.67 65.14 1823
85.58 32.85 64.54 1876
87.43 30.64 67.55 1929
85.11 29.98 65.46 1982
87.31 32.75 67.40 2035
84.86 28.58 64.26 2088
85.69 31.16 67.01 2142
86.07 31.11 65.57 2194
83.54 30.70 66.38 2247
84.63 29.39 67.28 2300
84.44 30.73 68.62 2354
82.96 28.90 68.41 2407
83.41 28.72 73.78 2459
82.89 25.07 71.73 2512
83.10 25.60 71.97 2566
82.71 26.24 70.84 2619
83.30 23.89 70.47 2672
82.78 28.93 72.85 2724
81.18 25.17 72.92 2778
81.62 22.14 71.45 2831
82.64 24.78 74.44 2884
83.73 27.26 74.09 2937
81.56 26.24 73.87 2990
83.09 23.44 72.42 3043
80.85 25.79 73.08 3096
82.31 25.50 73.40 3149
81.22 26.08 71.69 3203
81.22 27.81 71.64 3255
80.50 27.26 66.81 3308
82.65 29.56 67.75 3361
81.28 31.88 64.97 3415
82.69 32.31 64.77 3468
83.79 36.23 62.06 3520
83.55 42.52 59.38 3573
83.71 40.98 57.71 3627
83.64 40.38 54.70 3680
84.96 45.22 52.26 3733
84.86 46.53 51.94 3786
85.49 47.79 50.29 3838
82.14 47.86 49.85 3892
83.83 50.05 47.01 3945
82.30 53.91 42.99 3998
83.75 56.21 44.93 4051
83.00 57.79 39.69 4104
81.49 62.73 36.73 4157
82.52 62.22 39.49 4210
81.89 63.67 37.19 4263
82.65 69.07 29.84 4317
81.42 71.45 30.15 4369
83.13 71.91 33.16 4422
81.01 74.16 30.20 4475
81.72 79.41 17.29 4529
83.78 80.32 30.06 4582
82.65 82.31 26.36 4634
82.17 85.70 21.80 4687
81.68 86.58 21.08 4741
82.96 88.91 23.89 4794
81.58 90.39 20.68 4847
80.73 91.01 23.09 4899
80.42 91.45 25.66 4953
79.48 93.18 24.94 5006
77.89 94.00 23.01 5059
79.88 95.27 20.96 5112
80.47 94.58 21.27 5166
77.97 94.87 19.92 5218
76.09 95.21 20.52 5271
76.26 94.45 31.13 5324
67.98 94.85 22.21 5378
66.43 93.08 34.86 5431
65.06 93.77 33.41 5483
61.36 94.58 33.99 5536
60.52 94.78 40.02 5590
55.80 94.79 40.75 5643
51.84 94.07 42.33 5696
53.02 95.73 38.56 5748
48.33 95.24 41.56 5801
52.00 95.98 42.25 5855
48.60 96.41 47.09 5908
45.83 96.48 47.26 5961
46.20 96.31 49.17 6013
44.89 98.41 48.15 6067
42.12 98.13 48.46 6120
40.41 98.72 52.23 6173
40.53 97.66 51.85 6226
34.88 98.27 54.82 6280
33.84 98.37 52.53 6332
35.25 98.93 57.76 6385
32.95 98.34 55.16 6438
32.15 98.59 58.60 6492
28.72 98.62 60.32 6545
29.44 98.81 58.93 6597
27.63 99.77 66.61 6650
22.91 100.14 59.98 6704
25.17 99.83 61.54 6757
24.44 99.33 64.26 6810
21.08 100.28 64.51 6862
24.47 99.94 63.67 6916
24.03 99.24 64.57 6969
27.69 99.83 68.67 7022
22.62 100.22 64.43 7075
23.96 100.49 66.60 7129
25.98 99.34 68.05 7181
17.80 98.76 65.98 7234
26.80 100.15 68.41 7287
21.38 99.90 67.17 7341
25.01 100.00 69.86 7394
17.61 99.71 68.79 7446
19.46 100.22 69.79 7499
13.79 99.33 71.75 7553
18.43 101.03 68.59 7606
16.91 99.61 70.87 7659
10.91 99.81 70.52 7712
8.31 100.68 71.29 7764
16.17 100.15 73.43 7818
14.25 100.89 72.35 7871
18.20 100.79 75.23 7924
12.30 101.09 71.30 7977
9.90 100.74 74.58 8031
nan 103.44 77.88 8083
nan 101.08 75.97 8136
4.00 100.96 74.78 8188
10.53 100.66 75.02 8242
16.71 100.20 72.99 8295
8.21 100.89 71.02 8348
14.97 100.65 69.72 8400
26.05 100.08 71.48 8454
24.64 100.91 65.23 8507
27.75 99.24 61.08 8560
37.40 99.39 59.79 8613
37.21 100.45 53.23 8667
50.54 98.00 48.46 8719
42.81 100.01 44.75 8772
60.56 97.48 39.25 8825
61.97 101.23 34.56 8879
67.16 97.87 27.35 8932
66.47 99.88 32.10 8984
75.84 99.02 21.42 9037
72.60 101.02 27.72 9091
86.85 98.39 21.73 9144
83.19 98.30 18.65 9197
91.29 98.49 30.17 9250
95.52 97.42 19.21 9303
95.24 97.69 22.87 9356
97.05 96.80 24.17 9409
100.59 97.45 25.53 9462
103.83 97.96 28.81 9516
105.45 97.11 31.94 9569
108.40 96.72 32.70 9621
113.48 96.80 36.33 9674
113.72 98.10 36.28 9728
113.65 97.04 32.02 9781
116.60 97.77 39.86 9834
116.08 98.11 38.33 9887
114.97 97.90 47.07 9940
124.06 96.86 43.26 9993
122.14 98.03 46.64 10046
125.80 97.55 46.28 10099
131.74 96.31 52.01 10152
130.61 97.55 48.24 10206
130.37 96.70 54.68 10259
135.15 97.28 57.21 10312
133.70 96.56 53.19 10365
133.95 97.49 59.11 10419
136.68 98.42 56.86 10471
136.09 97.63 62.93 10524
140.75 98.72 63.45 10577
144.49 98.06 59.48 10631
141.26 97.67 63.42 10684
140.12 97.70 63.37 10737
145.98 98.47 69.03 10790
145.51 97.32 61.35 10844
142.08 97.48 66.64 10897
142.90 97.69 65.89 10950
144.97 97.75 66.12 11002
153.54 99.91 67.22 11056
146.13 97.94 72.19 11109
145.07 97.07 68.80 11162
150.81 98.28 71.57 11215
152.25 97.27 73.87 11269
144.78 97.79 69.94 11322
149.00 98.76 79.31 11375
155.76 98.17 82.23 11428
154.89 99.34 81.97 11482
158.77 99.34 80.29 11534
156.91 99.36 81.56 11587
159.40 100.02 81.82 11640
158.54 101.85 79.75 11694
161.66 99.93 85.94 11747
154.79 98.56 86.21 11800
159.80 99.46 90.22 11853
156.07 99.20 86.36 11907
159.20 99.78 88.10 11960
158.23 98.75 86.77 12013
155.22 100.21 86.96 12066
156.21 97.73 83.65 12120
154.34 99.40 82.23 12173
147.96 98.54 78.91 12225
149.41 100.45 78.75 12278
143.82 97.70 65.85 12332
145.58 98.51 66.66 12385
138.61 99.00 59.04 12438
126.81 99.91 52.70 12491
138.63 97.84 53.14 12545
120.45 97.72 41.54 12598
120.71 99.23 47.35 12651
110.93 97.89 37.88 12704
104.85 98.30 23.16 12756
101.18 98.90 34.59 12810
93.35 98.62 20.00 12863
94.38 99.13 24.47 12916
89.55 98.15 29.73 12969
85.74 97.01 nan 13023
87.34 98.61 36.58 13075
76.59 99.10 15.24 13128
78.02 98.65 22.47 13181
71.04 98.41 36.58 13235
68.23 99.53 27.38 13288
66.23 99.57 26.77 13341
66.00 99.68 32.62 13393
63.99 100.04 29.39 13447
62.63 99.70 35.49 13500
63.01 100.35 32.15 13553
61.95 100.35 35.90 13606
60.74 100.34 37.14 13660
65.25 99.85 28.72 13713
69.15 101.15 43.95 13765
77.58 98.66 nan 13818
76.92 99.93 26.43 13872
89.03 95.91 17.24 13925
97.76 96.86 30.53 13978
106.52 93.89 28.61 14030
108.43 96.14 43.69 14084
115.49 94.62 42.75 14137
