
Pot Pos Time 
1021 179 0 
1020 179 100 
1021 179 200 
1021 179 302 
1022 179 402 
1021 179 503 
1021 179 604 
1021 179 704 
1021 179 805 
947 166 906 
817 143 1006 
685 120 1107 
596 104 1208 
552 97 1308 
512 90 1410 
467 82 1510 
426 74 1610 
412 72 1712 
412 72 1812 
431 75 1912 
495 87 2014 
568 99 2114 
643 113 2214 
711 125 2316 
783 137 2416 
860 151 2516 
927 163 2618 
999 175 2718 
1007 177 2820 
992 174 2920 
1022 179 3020 
1023 180 3122 
1016 178 3222 
1019 179 3323 
936 164 3424 
820 144 3524 
699 122 3625 
651 114 3726 
586 103 3827 
520 91 3928 
441 77 4028 
340 59 4129 
258 45 4230 
204 35 4330 
136 23 4431 
111 19 4532 
60 10 4632 
40 7 4732 
36 6 4834 
41 7 4934 
65 11 5035 
148 26 5135 
220 38 5236 
291 51 5337 
367 64 5437 
430 75 5538 
502 88 5639 
573 100 5739 
637 112 5840 
708 124 5941 
773 136 6042 
855 150 6142 
926 162 6243 
998 175 6344 
1023 180 6445 
1008 177 6545 
1021 179 6646 
1021 179 6747 
1022 179 6848 
1021 179 6948 
1021 179 7050 
1021 179 7150 
1022 179 7250 
1014 178 7352 
935 164 7452 
851 149 7554 
763 134 7654 
676 118 7754 
623 109 7856 
529 93 7956 
461 81 8056 
409 71 8158 
394 69 8258 
519 91 8358 
676 118 8460 
753 132 8560 
816 143 8660 
684 120 8762 
473 83 8862 
441 77 8964 
621 109 9064 
851 149 9164 
835 146 9266 
577 101 9366 
420 73 9466 
452 79 9568 
715 125 9668 
879 154 9768 
904 159 9870 
729 128 9970 
488 85 10071 
395 69 10172 
380 66 10272 
383 67 10374 
543 95 10474 
689 121 10574 
848 149 10676 
926 162 10776 
967 170 10877 
798 140 10978 
558 98 11078 
396 69 11180 
366 64 11280 
404 71 11381 
586 103 11482 
739 130 11582 
893 157 11683 
931 163 11784 
860 151 11885 
718 126 11985 
452 79 12086 
316 55 12187 
215 37 12288 
124 21 12389 
65 11 12489 
12 2 12590 
7 1 12691 
3 0 12791 
1 0 12892 
108 19 12992 
236 41 13093 
376 66 13194 
496 87 13294 
594 104 13395 
723 127 13496 
824 144 13597 
988 173 13698 
1007 177 13798 
984 173 13899 
1023 180 14000 
991 174 14101 
953 167 14201 
792 139 14303 
679 119 14403 
562 98 14503 
446 78 14605 
333 58 14705 
240 42 14807 
154 27 14907 
68 11 15007 
23 4 15109 
0 0 15209 
2 0 15309 
87 15 15410 
291 51 15511 
435 76 15611 
439 77 15712 
192 33 15813 
112 19 15913 
104 18 16015 
329 57 16115 
542 95 16216 
594 104 16317 
281 49 16417 
190 33 16518 
271 47 16619 
538 94 16719 
711 125 16821 
704 123 16921 
398 70 17021 
209 36 17123 
168 29 17223 
413 72 17325 
671 118 17425 
729 128 17525 
531 93 17627 
252 44 17727 
216 38 17827 
328 57 17929 
619 108 18029 
758 133 18130 
694 122 18231 
353 62 18331 
255 44 18433 
320 56 18533 
664 116 18634 
759 133 18735 
426 74 18835 
269 47 18936 
248 43 19037 
561 98 19138 
748 131 19238 
514 90 19339 
261 45 19440 
258 45 19540 
503 88 19641 
775 136 19742 
664 116 19843 
269 47 19944 
232 40 20044 
402 70 20145 
777 136 20246 
679 119 20346 
255 44 20448 
232 40 20548 
436 76 20648 
794 139 20750 
752 132 20850 
515 90 20951 
324 57 21052 
298 52 21152 
289 50 21254 
285 50 21354 
284 49 21454 
285 50 21556 
284 49 21656 
285 50 21756 
284 49 21858 
284 49 21958 
467 82 22060 
743 130 22160 
736 129 22260 
755 132 22362 
768 135 22462 
765 134 22563 
768 135 22664 
425 74 22764 
318 55 22865 
268 47 22966 
292 51 23067 
264 46 23168 
267 46 23268 
264 46 23369 
264 46 23470 
263 46 23570 
264 46 23671 
264 46 23772 
276 48 23873 
374 65 23973 
371 65 24074 
344 60 24175 
414 72 24275 
465 81 24376 
467 82 24477 
467 82 24578 
573 100 24679 
583 102 24779 
582 102 24880 
663 116 24981 
707 124 25081 
714 125 25183 
714 125 25283 
855 150 25383 
871 153 25485 
889 156 25585 
908 159 25687 
1007 177 25787 
1017 178 25888 
1016 178 25989 
1022 179 26090 
1016 178 26190 
1013 178 26291 
940 165 26392 
890 156 26492 
899 158 26594 
895 157 26694 
872 153 26796 
702 123 26896 
645 113 26996 
651 114 27098 
650 114 27198 
579 101 27299 
482 84 27400 
478 84 27500 
477 83 27601 
429 75 27702 
320 56 27803 
267 46 27904 
254 44 28004 
229 40 28105 
137 24 28206 
79 13 28306 
32 5 28407 
26 4 28508 
26 4 28608 
27 4 28709 
144 25 28810 
225 39 28910 
256 45 29011 
260 45 29112 
308 54 29212 
411 72 29314 
437 76 29414 
438 77 29514 
439 77 29616 
499 87 29716 
562 98 29817 
574 100 29918 
577 101 30018 
643 113 30119 
729 128 30220 
755 132 30321 
764 134 30422 
800 140 30522 
895 157 30623 
950 167 30724 
988 173 30825 
1016 178 30925 
1020 179 31027 
1021 179 31127 
1022 179 31228 
1022 179 31329 
1021 179 31429 
930 163 31531 
865 152 31631 
871 153 31732 
867 152 31833 
858 150 31934 
687 120 32034 
591 103 32135 
579 101 32236 
568 99 32336 
509 89 32438 
432 76 32538 
416 73 32638 
413 72 32740 
412 72 32840 
391 68 32941 
252 44 33042 
199 35 33142 
156 27 33244 
145 25 33344 
108 19 33444 
34 5 33546 
4 0 33646 
0 0 33746 
0 0 33847 
1 0 33948 
15 2 34049 
109 19 34149 
237 41 34250 
367 64 34351 
450 79 34451 
511 89 34552 
571 100 34653 
644 113 34753 
721 126 34854 
800 140 34955 
903 158 35056 
990 174 35156 
1023 180 35258 
1023 180 35358 
1022 179 35459 
1021 179 35560 
1022 179 35660 
949 166 35762 
844 148 35862 
728 128 35963 
654 115 36064 
582 102 36165 
487 85 36265 
389 68 36366 
298 52 36467 
207 36 36568 
144 25 36668 
122 21 36769 
106 18 36870 
90 15 36971 
77 13 37071 
64 11 37172 
56 9 37273 
49 8 37373 
43 7 37474 
38 6 37574 
38 6 37676 
38 6 37776 
40 7 37876 
92 16 37978 
196 34 38078 
304 53 38178 
415 73 38280 
511 89 38380 
587 103 38480 
667 117 38582 
770 135 38682 
865 152 38784 
962 169 38884 
976 171 38984 
1023 180 39086 
1017 178 39186 
1022 179 39287 
1022 179 39388 
1021 179 39489 
1011 177 39589 
930 163 39691 
828 145 39791 
728 128 39891 
673 118 39993 
593 104 40093 
524 92 40195 
453 79 40295 
384 67 40395 
311 54 40497 
229 40 40597 
173 30 40698 
97 17 40799 
45 7 40899 
9 1 41000 
2 0 41101 
